Feature,Importance
FT9-FT10_theta,0.06001745366884124
FT9-FT10_alpha,0.05830456010441168
T7-P7_theta,0.04222311961335402
FP1-F7_alpha,0.03977202323592397
FT9-FT10_beta,0.03927985883134619
FT9-FT10_std,0.037827823117573135
FP2-F8_alpha,0.028099541868493647
FP1-F7_theta,0.02592200728590477
T8-P8-1_alpha,0.020637961813842035
FP2-F8_theta,0.020568193967980767
F8-T8_delta,0.01985921301368181
FP2-F4_theta,0.018586641891533674
F7-T7_theta,0.018358651922378354
T7-P7_delta,0.017997482110181717
T8-P8-0_std,0.016803095730286113
T8-P8-1_std,0.016466945646792363
FP2-F8_std,0.016062827616875608
T8-P8-1_theta,0.014028026213120954
T8-P8-0_alpha,0.013978459651290338
T7-P7_std,0.013693192038478474
F8-T8_std,0.011633285683057916
P7-T7_theta,0.011240899951362267
F8-T8_alpha,0.011238707638933728
P7-T7_std,0.009853871766165178
T8-P8-0_theta,0.009231564431680382
FT10-T8_theta,0.008968908637481109
C4-P4_gamma,0.008840563396357587
P7-O1_theta,0.008549881100661428
F8-T8_theta,0.008173127683378073
FT10-T8_alpha,0.008051933573400297
P7-T7_delta,0.007986872995122365
F3-C3_delta,0.007556430587002121
FT9-FT10_delta,0.007532853120787291
F4-C4_std,0.007460028720016545
FP1-F3_theta,0.007235574827836572
F4-C4_theta,0.006877728050347995
F7-T7_std,0.006518559167180006
FP1-F7_std,0.006401508816975717
F4-C4_delta,0.005840651784393873
FP2-F8_delta,0.0057302131267383365
FP1-F3_std,0.005473576445268502
P4-O2_gamma,0.0053746467300093284
P7-O1_alpha,0.005351787952622552
FZ-CZ_delta,0.005340963314595601
FP2-F4_beta,0.005330807005634503
CZ-PZ_delta,0.005313341715232214
FT9-FT10_kurt,0.005293499874879271
FT10-T8_std,0.004895028643036949
FP1-F7_delta,0.0047449249993137994
T7-FT9_gamma,0.004714135287644786
P8-O2_delta,0.004628871292117853
FZ-CZ_theta,0.004625989220426328
F8-T8_gamma,0.004372894695310517
CZ-PZ_theta,0.004009737964586275
C4-P4_beta,0.0039264500734543205
F7-T7_delta,0.0038726617344264675
FT9-FT10_gamma,0.003633429564619737
P7-O1_skew,0.0035735771888996963
FP2-F8_gamma,0.0035123522642970624
FT10-T8_skew,0.00348193218462398
P3-O1_beta,0.003237406362489674
T8-P8-0_delta,0.0031839063880161954
F3-C3_theta,0.002982582156610482
F3-C3_skew,0.0029312081244451844
F8-T8_kurt,0.002914218769075845
CZ-PZ_std,0.002827346102902251
FT10-T8_gamma,0.002696997414710323
P3-O1_gamma,0.002669396509624258
T8-P8-1_delta,0.0026236768386216462
FP2-F4_gamma,0.002581692184297238
T7-FT9_kurt,0.0025723868525971212
T7-P7_alpha,0.0024257210181225083
F7-T7_alpha,0.002421787258160085
F4-C4_gamma,0.002350448826733296
FP1-F7_gamma,0.0023400787633768728
F7-T7_gamma,0.0022074786171435074
P4-O2_beta,0.0022057092802817094
F4-C4_alpha,0.002196028308160406
P7-O1_kurt,0.0021900495369166807
C3-P3_gamma,0.002146852718203141
C3-P3_skew,0.002124230300892467
F3-C3_kurt,0.002120273041251199
F3-C3_gamma,0.002118523947059526
FT10-T8_kurt,0.0020447277271180052
